grams,yardage,yarn_weight_wpi,ratio
198.0,364.0,8,1.8383838383838385
170.0,315.0,8,1.8529411764705883
100.0,220.0,9,2.2
100.0,210.0,9,2.1
100.0,170.0,8,1.7
100.0,210.0,8,2.1
70.0,120.0,9,1.7142857142857142
100.0,220.0,9,2.2
100.0,194.0,9,1.94
85.0,197.0,8,2.3176470588235296
199.0,355.0,8,1.7839195979899498
50.0,110.0,9,2.2
50.0,231.0,14,4.62
50.0,224.0,14,4.48
100.0,220.0,9,2.2
50.0,183.0,12,3.66
100.0,437.0,14,4.37
150.0,574.0,14,3.8266666666666667
50.0,231.0,14,4.62
100.0,322.0,11,3.22
100.0,218.0,9,2.18
127.0,285.0,8,2.2440944881889764
100.0,200.0,9,2.0
150.0,510.0,14,3.4
57.0,95.0,9,1.6666666666666667
170.0,185.0,7,1.088235294117647
141.0,244.0,8,1.7304964539007093
453.0,812.0,8,1.7924944812362031
50.0,218.0,14,4.36
50.0,109.0,8,2.18
50.0,109.0,8,2.18
100.0,395.0,14,3.95
100.0,219.0,9,2.19
113.0,190.0,8,1.6814159292035398
100.0,223.0,9,2.23
50.0,109.0,8,2.18
141.0,256.0,8,1.8156028368794326
50.0,191.0,12,3.82
50.0,137.0,12,2.74
50.0,110.0,9,2.2
70.0,120.0,8,1.7142857142857142
142.0,251.0,8,1.767605633802817
100.0,437.0,14,4.37
50.0,191.0,11,3.82
100.0,219.0,8,2.19
100.0,459.0,14,4.59
50.0,175.0,14,3.5
227.0,465.0,8,2.048458149779736
50.0,82.0,8,1.64
454.0,1020.0,9,2.246696035242291
50.0,166.0,14,3.32
146.0,405.0,14,2.7739726027397262
100.0,334.0,12,3.34
100.0,207.0,8,2.07
140.0,362.0,11,2.585714285714286
100.0,180.0,8,1.8
50.0,109.0,11,2.18
50.0,115.0,11,2.3
50.0,109.0,11,2.18
100.0,219.0,9,2.19
50.0,123.0,11,2.46
250.0,478.0,7,1.912
113.0,125.0,7,1.1061946902654867
50.0,140.0,9,2.8
100.0,210.0,8,2.1
150.0,590.0,11,3.933333333333333
100.0,200.0,8,2.0
100.0,109.0,7,1.09
56.0,98.0,8,1.75
113.0,250.0,9,2.2123893805309733
100.0,430.0,14,4.3
50.0,98.0,8,1.96
113.0,450.0,14,3.982300884955752
50.0,80.0,9,1.6
198.0,370.0,8,1.8686868686868687
50.0,150.0,11,3.0
25.0,115.0,14,4.6
100.0,220.0,11,2.2
115.0,425.0,14,3.6956521739130435
25.0,115.0,14,4.6
50.0,191.0,12,3.82
50.0,164.0,8,3.28
50.0,150.0,11,3.0
100.0,290.0,11,2.9
200.0,383.0,8,1.915
100.0,190.0,9,1.9
100.0,445.0,14,4.45
100.0,420.0,14,4.2
250.0,478.0,7,1.912
50.0,230.0,14,4.6
100.0,437.0,14,4.37
100.0,150.0,8,1.5
100.0,138.0,8,1.38
227.0,560.0,11,2.4669603524229076
50.0,123.0,11,2.46
50.0,186.0,14,3.72
100.0,284.0,11,2.84
113.0,250.0,8,2.2123893805309733
50.0,191.0,11,3.82
50.0,109.0,9,2.18
100.0,104.0,7,1.04
50.0,166.0,14,3.32
50.0,183.0,12,3.66
150.0,400.0,12,2.6666666666666665
170.0,405.0,12,2.3823529411764706
100.0,130.0,7,1.3
114.0,420.0,14,3.6842105263157894
110.0,400.0,14,3.6363636363636362
100.0,280.0,8,2.8
200.0,468.0,11,2.34
57.0,95.0,9,1.6666666666666667
50.0,179.0,11,3.58
50.0,191.0,14,3.82
100.0,328.0,12,3.28
100.0,396.0,14,3.96
25.0,153.0,8,6.12
50.0,191.0,14,3.82
50.0,275.0,14,5.5
100.0,462.0,14,4.62
150.0,656.0,12,4.373333333333333
100.0,128.0,7,1.28
50.0,110.0,12,2.2
100.0,400.0,14,4.0
50.0,136.0,12,2.72
100.0,160.0,9,1.6
50.0,180.0,14,3.6
200.0,341.0,7,1.705
225.0,1094.0,14,4.862222222222222
50.0,120.0,11,2.4
50.0,220.0,14,4.4
50.0,82.0,8,1.64
100.0,136.0,7,1.36
100.0,357.0,14,3.57
170.0,380.0,8,2.235294117647059
100.0,340.0,12,3.4
115.0,440.0,14,3.8260869565217392
50.0,175.0,12,3.5
100.0,273.0,9,2.73
50.0,147.0,8,2.94
50.0,127.0,11,2.54
100.0,109.0,7,1.09
100.0,218.0,9,2.18
100.0,459.0,14,4.59
50.0,123.0,9,2.46
100.0,437.0,14,4.37
100.0,210.0,9,2.1
100.0,198.0,9,1.98
100.0,438.0,14,4.38
100.0,215.0,9,2.15
100.0,200.0,9,2.0
120.0,400.0,14,3.3333333333333335
100.0,219.0,9,2.19
100.0,219.0,9,2.19
115.0,377.0,11,3.2782608695652176
100.0,437.0,14,4.37
50.0,195.0,14,3.9
100.0,180.0,8,1.8
100.0,459.0,14,4.59
50.0,138.0,14,2.76
100.0,328.0,9,3.28
100.0,245.0,9,2.45
50.0,181.0,12,3.62
42.0,68.0,9,1.619047619047619
113.0,400.0,14,3.5398230088495577
50.0,137.0,12,2.74
100.0,437.0,14,4.37
50.0,108.0,11,2.16
50.0,75.0,9,1.5
100.0,137.0,7,1.37
50.0,191.0,14,3.82
100.0,306.0,11,3.06
50.0,178.0,11,3.56
50.0,136.0,12,2.72
100.0,170.0,8,1.7
170.0,315.0,8,1.8529411764705883
50.0,166.0,14,3.32
50.0,105.0,11,2.1
115.0,400.0,14,3.4782608695652173
50.0,164.0,12,3.28
100.0,433.0,14,4.33
50.0,123.0,11,2.46
50.0,137.0,12,2.74
85.0,135.0,7,1.588235294117647
50.0,175.0,14,3.5
140.0,153.0,7,1.0928571428571427
140.0,459.0,11,3.2785714285714285
50.0,109.0,11,2.18
50.0,202.0,12,4.04
50.0,109.0,11,2.18
50.0,134.0,9,2.68
100.0,218.0,9,2.18
85.0,185.0,8,2.176470588235294
113.0,225.0,8,1.991150442477876
50.0,77.0,8,1.54
50.0,131.0,11,2.62
150.0,312.0,7,2.08
50.0,231.0,14,4.62
100.0,179.0,7,1.79
100.0,459.0,14,4.59
85.0,153.0,8,1.8
100.0,110.0,7,1.1
85.0,158.0,8,1.8588235294117648
350.0,1255.0,11,3.585714285714286
50.0,153.0,8,3.06
100.0,126.0,7,1.26
85.0,251.0,11,2.9529411764705884
50.0,175.0,14,3.5
113.0,200.0,8,1.7699115044247788
50.0,85.0,8,1.7
100.0,219.0,9,2.19
80.0,110.0,8,1.375
197.0,382.0,8,1.9390862944162437
142.0,252.0,8,1.7746478873239437
50.0,82.0,8,1.64
50.0,218.0,14,4.36
100.0,357.0,14,3.57
100.0,136.0,7,1.36
50.0,184.0,12,3.68
100.0,376.0,14,3.76
50.0,122.0,9,2.44
100.0,437.0,14,4.37
141.0,446.0,11,3.1631205673758864
50.0,110.0,9,2.2
100.0,213.0,9,2.13
50.0,93.0,9,1.86
197.0,440.0,8,2.233502538071066
100.0,459.0,14,4.59
50.0,192.0,14,3.84
50.0,142.0,12,2.84
141.0,235.0,8,1.6666666666666667
100.0,430.0,14,4.3
50.0,144.0,11,2.88
100.0,220.0,9,2.2
50.0,98.0,11,1.96
50.0,137.0,11,2.74
50.0,137.0,12,2.74
100.0,150.0,8,1.5
50.0,191.0,12,3.82
142.0,236.0,8,1.6619718309859155
100.0,459.0,14,4.59
100.0,208.0,9,2.08
50.0,215.0,14,4.3
50.0,146.0,12,2.92
113.0,214.0,8,1.8938053097345133
200.0,437.0,11,2.185
115.0,425.0,14,3.6956521739130435
100.0,247.0,9,2.47
100.0,435.0,14,4.35
100.0,459.0,14,4.59
50.0,174.0,11,3.48
100.0,148.0,7,1.48
100.0,292.0,11,2.92
50.0,202.0,12,4.04
115.0,355.0,12,3.0869565217391304
100.0,120.0,7,1.2
100.0,186.0,9,1.86
198.0,354.0,8,1.7878787878787878
100.0,421.0,14,4.21
100.0,376.0,14,3.76
125.0,412.0,12,3.296
70.0,168.0,11,2.4
300.0,603.0,8,2.01
100.0,465.0,14,4.65
141.0,236.0,8,1.673758865248227
50.0,124.0,11,2.48
50.0,64.0,7,1.28
50.0,142.0,11,2.84
50.0,120.0,11,2.4
100.0,197.0,8,1.97
85.0,164.0,8,1.9294117647058824
65.0,102.0,11,1.5692307692307692
100.0,214.0,8,2.14
50.0,153.0,11,3.06
100.0,192.0,8,1.92
50.0,115.0,11,2.3
50.0,136.0,11,2.72
50.0,123.0,11,2.46
100.0,108.0,7,1.08
100.0,400.0,14,4.0
100.0,437.0,14,4.37
50.0,219.0,14,4.38
65.0,248.0,14,3.8153846153846156
100.0,350.0,12,3.5
100.0,209.0,8,2.09
50.0,136.0,12,2.72
56.0,95.0,9,1.6964285714285714
50.0,231.0,14,4.62
141.0,290.0,9,2.0567375886524824
100.0,171.0,9,1.71
50.0,195.0,14,3.9
